iPhasePC GPS状态 GPS模式 GPS有效性 GPS经度 GPS纬度 GPS高度 GPS东速 GPS北速 GPS天速
     29 01 60 5a 116.603149 40.141692 34.42 0.0113 -0.0015 -0.0112
     68 01 60 5a 116.603149 40.141692 34.42 0.0016 0.0081 -0.0204
    108 01 60 5a 116.603149 40.141692 34.41 0.0309 -0.0009 -0.0157
    148 01 60 5a 116.603149 40.141692 34.41 -0.0132 -0.0210 -0.0037
    188 01 60 5a 116.603149 40.141692 34.41 -0.0090 -0.0250 0.0089
    228 01 60 5a 116.603149 40.141692 34.41 -0.0199 -0.0128 0.0007
    269 01 60 5a 116.603149 40.141692 34.41 -0.0098 -0.0007 -0.0133
    308 01 60 5a 116.603149 40.141692 34.41 -0.0048 0.0216 0.0029
    348 01 60 5a 116.603149 40.141692 34.41 -0.0045 0.0052 0.0073
    388 01 60 5a 116.603149 40.141692 34.41 0.0133 0.0161 -0.0237
    428 01 60 5a 116.603149 40.141692 34.41 -0.0062 -0.0147 0.0007
    468 01 60 5a 116.603149 40.141692 34.41 0.0004 0.0124 -0.0058
    509 01 60 5a 116.603149 40.141692 34.41 0.0042 0.0028 -0.0008
    548 01 60 5a 116.603149 40.141692 34.41 0.0036 -0.0101 -0.0164
    589 01 60 5a 116.603149 40.141692 34.42 0.0077 0.0043 0.0463
    628 01 60 5a 116.603149 40.141692 34.41 0.0141 0.0134 -0.0120
    668 01 60 5a 116.603149 40.141692 34.40 0.0175 0.0036 -0.0361
    708 01 60 5a 116.603149 40.141692 34.41 -0.0049 -0.0077 -0.0125
    748 01 60 5a 116.603149 40.141692 34.41 0.0017 -0.0053 0.0168
    788 01 60 5a 116.603149 40.141692 34.40 0.0108 -0.0045 -0.0628
    829 01 60 5a 116.603149 40.141692 34.40 -0.0122 0.0008 0.0050
    868 01 60 5a 116.603149 40.141692 34.39 -0.0052 -0.0153 -0.0290
    909 01 60 5a 116.603149 40.141692 34.39 -0.0094 0.0115 0.0254
    948 01 60 5a 116.603149 40.141692 34.39 -0.0169 0.0001 0.0074
    988 01 60 5a 116.603149 40.141692 34.39 -0.0168 -0.0145 -0.0192
   1028 01 60 5a 116.603149 40.141692 34.38 0.0007 -0.0186 -0.0356
   1068 01 60 5a 116.603149 40.141692 34.38 -0.0195 -0.0220 -0.0456
   1108 01 60 5a 116.603149 40.141692 34.38 -0.0025 0.0121 -0.0214
   1149 01 60 5a 116.603149 40.141692 34.38 -0.0098 -0.0282 0.0293
   1188 01 60 5a 116.603150 40.141693 33.99 -0.0225 -0.0251 0.0297
